C000572,47,26406,24426,22056,,,,
C000573,0,26406,24426,22056,,,,
C000574,0,35016,31926,28266,,,,
C000575,130,33366,31596,29496,,,,
C000576,130,33366,31596,29496,,,,
C000577,0,41016,38256,34986,,,,
C000578,0,14826,13746,12516,,,,
C000579,0,14826,13746,12516,,,,
C000580,0,20676,18756,16536,,,,
C000581,131,33756,32016,29946,,,,
C000582,131,33756,32016,29946,,,,
C000583,0,41376,38646,35406,,,,
C000584,0,18876,17556,15996,,,,
C000585,0,18876,17556,15996,,,,
C000586,0,24606,22536,20106,,,,
C000587,132,39576,37566,35226,,,,
C000588,132,39576,37566,35226,,,,
C000589,0,48156,45036,41406,,,,
C000590,133,37506,35736,33666,,,,
C000591,133,37506,35736,33666,,,,
C000592,0,45156,42396,39156,,,,
C000593,128,24666,23556,22266,,,,
C000594,128,24666,23556,22266,,,,
C000595,0,30306,28386,26136,,,,
C000596,129,25836,24696,23376,,,,
C000597,129,25836,24696,23376,,,,
C000598,0,31506,29586,27306,,,,
C000599,0,71496,70266,68826,,,,
C000600,0,71496,70266,68826,,,,
C000601,0,77226,75186,72816,,,,
C000602,0,50796,49476,47946,,,,
C000603,0,50796,49476,47946,,,,
C000604,0,56856,54696,52176,,,,
C000605,137,12966,11856,10566,,,,
C000606,137,12966,11856,10566,,,,
C000607,0,18636,16716,14496,,,,
C000608,138,20076,18036,15636,,,,
C000609,138,20076,18036,15636,,,,
C000610,0,29106,25896,22116,,,,
C000611,134,20616,18846,16776,,,,
C000612,134,20616,18846,16776,,,,
C000613,0,28236,25476,22236,,,,
C000614,135,34776,32706,30276,,,,
C000615,135,34776,32706,30276,,,,
C000616,0,43386,40206,36486,,,,
C000617,139,24816,22506,19776,,,,
C000618,0,24816,22506,19776,,,,
C000619,0,36546,32646,28026,,,,
